,ADJDE,ADJOE,ADJ_T,BARTHAG,CONF,EFG_D,EFG_O,FTR,FTRD,G,ORB,POSTSEASON,RK,SEED,TEAM,THREEP_D,THREEP_O,TOR,TORD,TWOP_D,TWOP_O,W,WAB,LONGITUD,LATITUDE
43,94.8,108.6,68.1,0.826,Amer,45.7,50.3,39.6,29.2,30,32.0,68,47,12.0,Cincinnati,33.7,31.9,20.2,19.7,43.1,51.7,20,0.2,-84.51428,39.131159000000004
44,94.9,108.5,69.0,0.8249,A10,47.7,53.5,27.8,30.2,31,22.6,68,48,12.0,Richmond,30.5,36.2,15.6,19.9,49.1,53.0,24,1.2,-77.53880600000001,37.577393
45,99.8,113.6,66.1,0.8155,SEC,48.1,51.5,39.5,31.6,31,37.0,68,49,12.0,Mississippi St.,31.2,33.6,20.6,17.1,48.8,51.9,20,-0.5,-88.790139,33.454852
46,93.8,106.6,67.5,0.8126,A10,46.1,50.1,39.8,36.6,30,34.2,68,50,12.0,Saint Louis,32.4,34.2,18.8,19.6,44.5,49.7,23,0.0,-90.2351,38.636801
47,91.3,103.6,69.9,0.8101,ACC,44.6,49.8,34.8,35.7,30,29.2,68,51,13.0,Georgia Tech,28.3,31.0,22.9,19.3,45.7,51.2,17,-1.9,-84.394832,33.772420000000004
48,96.1,108.9,71.0,0.8084,SEC,47.3,50.9,42.5,40.9,32,21.5,68,52,13.0,Arkansas,27.2,33.4,15.9,22.1,50.5,51.5,20,-1.3,-94.17698100000001,36.070009000000006
49,94.7,107.2,68.3,0.8068,B12,46.7,47.8,35.2,33.1,32,29.5,68,53,13.0,Oklahoma St.,29.9,31.5,19.4,20.6,48.3,48.0,18,0.0,-97.069743,36.123084999999996
50,93.3,105.5,69.6,0.8047,P12,44.1,50.4,37.9,31.4,32,27.4,68,54,13.0,Washington,31.2,32.5,21.3,19.3,42.4,51.4,15,-5.0,-122.30514,47.65538
51,98.5,111.2,68.1,0.8006,ACC,47.5,50.4,25.0,19.7,32,26.9,68,55,14.0,Notre Dame,33.7,34.5,14.2,16.8,45.8,49.4,20,-1.1,-86.238959,41.703058
52,96.3,108.6,68.3,0.8001,Amer,46.4,47.8,34.6,34.6,31,34.1,68,56,14.0,Connecticut,33.0,32.4,19.9,21.9,45.0,47.4,19,-2.2,-72.249948,41.809098
53,91.9,103.6,69.1,0.799,P12,44.6,49.5,35.4,28.0,31,30.6,68,58,14.0,USC,31.3,35.0,20.4,18.1,43.1,48.1,22,1.8,-118.28416899999999,34.021281
54,94.4,106.1,73.0,0.7942,P12,49.1,48.8,32.4,34.2,31,26.5,68,59,15.0,Arizona St.,33.1,32.3,17.9,22.3,48.8,49.0,20,0.9,-111.93438300000001,33.417721
55,99.2,111.4,74.7,0.7915,SEC,47.9,52.2,36.9,35.8,31,29.7,68,60,15.0,Alabama,31.2,34.9,19.1,18.1,48.4,52.1,16,-3.8,-87.52959399999999,33.207015000000006
56,94.0,105.5,72.9,0.7915,SEC,45.2,48.6,36.8,53.0,31,32.1,68,61,15.0,South Carolina,29.6,31.0,18.1,21.4,45.7,49.5,18,-2.4,-81.026935,33.996788
57,95.5,107.3,65.1,0.7914,SEC,45.9,48.8,37.3,35.3,31,30.5,68,62,15.0,Tennessee,33.1,31.3,20.5,19.6,44.0,49.9,17,-2.1,-83.925852,35.952082
58,89.2,100.2,73.0,0.7909,Amer,41.2,49.7,39.9,35.0,31,30.0,68,63,16.0,Memphis,28.0,32.9,22.3,20.2,40.7,50.0,21,0.0,-89.938068,35.118878
59,99.8,111.8,65.7,0.7871,MVC,48.5,54.8,27.6,25.8,29,28.9,68,64,16.0,Northern Iowa,33.7,38.6,18.6,15.6,47.2,52.6,25,0.9,-92.459703,42.514922999999996
60,97.0,108.1,68.8,0.778,WCC,50.2,51.3,29.4,31.9,33,29.0,68,65,16.0,San Francisco,37.6,33.5,17.3,18.5,47.7,52.2,22,-2.4,-122.450477,37.776618
61,94.1,104.8,69.2,0.7763,A10,48.1,49.7,33.0,35.9,31,27.5,68,66,16.0,VCU,33.7,34.6,17.8,24.5,46.8,48.4,18,-3.6,-77.452697,37.549620000000004
62,92.7,103.3,65.9,0.7761,B12,46.9,49.9,22.0,35.3,31,26.7,68,67,16.0,Texas,32.2,33.5,20.5,20.8,46.3,49.7,19,1.0,-97.73827299999999,30.282825
63,101.7,113.1,64.6,0.7726,A10,49.4,53.4,31.5,32.7,30,24.6,68,68,16.0,Davidson,33.2,36.8,16.5,17.2,49.1,52.0,16,-5.0,-80.843979,35.499767
